airportCodeIATA,airportCodeICAO,countryCode,Latitude,Longitude,continentCode
UIO,SEQM,EC,-0.137777778,-78.48611111,SA
URC,ZWWW,CNW,43.9,87.48333333,AS
VCE,LIPZ,IT,45.50527778,12.35194444,EU
VCP,SBKP,BR,-23.0075,-47.13444444,SA
VIE,LOWW,AT,48.11111111,16.55833333,EU
VIT,LEVT,ES,42.83333333,-2.5,EU
VKO,UUWW,RU,55.58333333,37.26666667,AS
VNO,EYVI,LT,54.64,25.29,EU
VVI,SLVR,BO,-17.63333333,-63.13333333,SA
WAW,EPWA,PL,52.16666667,20.96666667,EU
WDH,FYWH,NA,-22.48333333,17.46666667,AF
WUH,ZHHH,CNN,30.5,114.3166667,AS
XIY,ZLXY,CNW,34.43333333,108.75,AS
XMN,ZSAM,CNS,24.46666667,118.1166667,AS
YUL,CYUL,CAE,45.47,-73.74,NA
YVR,CYVR,CAW,49.18722222,-123.1852778,NA
YYC,CYYC,CAW,51.11277778,-114.0197222,NA
YYZ,CYYZ,CAE,43.68333333,-79.63333333,NA
ZAZ,LEZG,ES,41.66611111,-1.041666667,EU
ZRH,LSZH,CH,47.45833333,8.551666667,EU
