,wt0,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,Total Revenue,target
122,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,50.0
123,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,55.0
124,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,68.0
125,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,34.0
126,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,32.0
127,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,78.0
128,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,58.0
129,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,50.0
130,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,40.0
131,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,34.0
132,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,46.0
133,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,32.0
134,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,69.0
135,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,66.0
136,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,33.0
137,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,54.0
138,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,32.0
139,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,77.0
140,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
141,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,32.0
142,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,43.0
143,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,65.0
144,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,45.0
145,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,34.0
146,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,77.0
147,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,32.0
148,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,32.0
149,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,53.0
150,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,32.0
151,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,61.0
152,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,65.0
153,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,48.0
154,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,50.0
155,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
156,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,43.0
157,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,38.0
158,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,46.0
159,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,80.0
160,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,59.0
161,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,68.0
162,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,38.0
163,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,60.0
164,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,72.0
165,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,33.0
166,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,32.0
167,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,68.0
168,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,32.0
